policy_id,customer_id,policy_type,vehicle_type,coverage_level,annual_premium
A0389,389,Auto,SUV,Standard,756.09
A0588,588,Auto,Truck,Liability Only,1051.62
A0303,303,Auto,Coupe,Standard,1423.8
A0292,292,Auto,Sedan,Full Coverage,1694.97
A0426,426,Auto,Sedan,Standard,946.44
A0693,693,Auto,SUV,Full Coverage,1826.39
A0459,459,Auto,SUV,Liability Only,671.97
A0221,221,Auto,Coupe,Liability Only,790.98
A0377,377,Auto,Sedan,Full Coverage,1257.83
A0240,240,Auto,SUV,Liability Only,414.64
A0354,354,Auto,Minivan,Standard,490.53
A0359,359,Auto,Truck,Standard,1712.09
A0591,591,Auto,Sedan,Liability Only,882.86
A0422,422,Auto,Coupe,Full Coverage,1682.94
A0714,714,Auto,SUV,Standard,1025.27
A0566,566,Auto,Minivan,Full Coverage,1207.06
A0089,89,Auto,Minivan,Full Coverage,1134.24
A0235,235,Auto,Sedan,Standard,819.36
A0011,11,Auto,Minivan,Standard,595.9
A0273,273,Auto,Sedan,Standard,793.35
A0155,155,Auto,Sedan,Full Coverage,1829.89
A0237,237,Auto,SUV,Liability Only,444.11
A0149,149,Auto,Truck,Full Coverage,2485.66
A0655,655,Auto,Minivan,Full Coverage,1496.37
A0710,710,Auto,Sedan,Standard,935.66
A0302,302,Auto,Sedan,Standard,963.32
A0249,249,Auto,Coupe,Standard,1348.57
A0728,728,Auto,Sedan,Full Coverage,1966.52
A0740,740,Auto,Sedan,Full Coverage,1323.92
A0085,85,Auto,Sedan,Standard,697.51
A0206,206,Auto,Sedan,Standard,674.53
A0661,661,Auto,Coupe,Liability Only,660.46
A0659,659,Auto,Coupe,Liability Only,1526.63
A0134,134,Auto,Sedan,Standard,1387.29
A0166,166,Auto,Truck,Full Coverage,1402.95
A0428,428,Auto,SUV,Liability Only,644.75
A0368,368,Auto,Truck,Standard,1180.15
A0198,198,Auto,SUV,Liability Only,619.69
A0313,313,Auto,Sedan,Full Coverage,1899.78
A0715,715,Auto,Sedan,Standard,1099.15
A0058,58,Auto,Coupe,Liability Only,1171.85
A0711,711,Auto,Sedan,Standard,990.73
A0548,548,Auto,Sedan,Standard,740.32
A0480,480,Auto,Sedan,Full Coverage,1664.71
A0097,97,Auto,SUV,Standard,951.6
A0671,671,Auto,Coupe,Standard,1297.6
A0647,647,Auto,Minivan,Full Coverage,1420.24
A0797,797,Auto,Sedan,Liability Only,475.52
A0370,370,Auto,SUV,Standard,714.7
A0328,328,Auto,Sedan,Standard,1595.04
A0057,57,Auto,Sedan,Standard,890.15
A0664,664,Auto,SUV,Full Coverage,1345.34
A0793,793,Auto,Truck,Liability Only,1122.26
A0007,7,Auto,Truck,Standard,1680.82
A0658,658,Auto,Coupe,Liability Only,691.53
A0558,558,Auto,Minivan,Full Coverage,1307.23
A0625,625,Auto,SUV,Full Coverage,1301.47
A0036,36,Auto,Sedan,Liability Only,695.45
A0421,421,Auto,SUV,Liability Only,568.7
A0205,205,Auto,Truck,Standard,1025.9
A0748,748,Auto,Truck,Full Coverage,1673.68
A0440,440,Auto,Sedan,Standard,680.91
A0598,598,Auto,Minivan,Standard,1214.8
A0054,54,Auto,Coupe,Liability Only,935.66
A0623,623,Auto,Sedan,Standard,975.69
A0473,473,Auto,SUV,Standard,891.01
A0638,638,Auto,Sedan,Standard,788.77
A0437,437,Auto,Coupe,Liability Only,519.31
A0321,321,Auto,Sedan,Standard,929.69
A0324,324,Auto,Coupe,Liability Only,583.81
A0448,448,Auto,Truck,Liability Only,556.86
A0573,573,Auto,Truck,Standard,1123.59
A0560,560,Auto,Sedan,Full Coverage,1549.47
A0717,717,Auto,Sedan,Liability Only,500.4
A0646,646,Auto,Minivan,Standard,766.07
A0774,774,Auto,SUV,Liability Only,605.82
A0203,203,Auto,Minivan,Full Coverage,1141.59
A0210,210,Auto,SUV,Liability Only,895.16
A0695,695,Auto,SUV,Standard,1389.54
A0001,1,Auto,Coupe,Liability Only,988.7
A0743,743,Auto,SUV,Standard,814.51
A0497,497,Auto,Sedan,Standard,856.4
A0005,5,Auto,Sedan,Full Coverage,1038.37
A0725,725,Auto,Coupe,Liability Only,741.16
A0745,745,Auto,SUV,Full Coverage,1744.4
A0449,449,Auto,Coupe,Liability Only,781.41
A0784,784,Auto,SUV,Liability Only,608.85
A0488,488,Auto,SUV,Standard,739.84
A0026,26,Auto,SUV,Standard,694.17
A0595,595,Auto,Truck,Standard,1138.86
A0017,17,Auto,SUV,Standard,1423.98
A0567,567,Auto,Truck,Full Coverage,1073.38
A0680,680,Auto,Coupe,Standard,1453.36
A0021,21,Auto,Sedan,Standard,660.72
A0175,175,Auto,Sedan,Full Coverage,1052.6
A0425,425,Auto,SUV,Standard,963.28
A0245,245,Auto,SUV,Full Coverage,1102.25
A0132,132,Auto,Sedan,Liability Only,403.65
A0016,16,Auto,Sedan,Liability Only,715.59
A0308,308,Auto,Sedan,Full Coverage,1132.66
A0348,348,Auto,Coupe,Liability Only,698.02
A0029,29,Auto,Sedan,Full Coverage,1460.26
A0167,167,Auto,SUV,Liability Only,750.12
A0383,383,Auto,Sedan,Standard,744.78
A0241,241,Auto,Sedan,Standard,662.18
A0779,779,Auto,Sedan,Liability Only,799.1
A0110,110,Auto,Sedan,Full Coverage,1164.74
A0095,95,Auto,SUV,Liability Only,656.53
A0699,699,Auto,Truck,Liability Only,976.58
A0431,431,Auto,SUV,Full Coverage,1484.38
A0299,299,Auto,Sedan,Full Coverage,1928.57
A0407,407,Auto,SUV,Liability Only,671.64
